Fecha:,12/11/2023 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario
ALBACETE,ALBACETE,ALBACETE,02007,CARRETERA C-M 332 KM. 26,D,-1.831611,38.998111,10/11/2023 09:24,1.679,,,1.799,,1.699,1.769,1.639,,,,,,,,,,"INLOCOR S.L. ""CEPSA""",L-D: 06:00-23:30
ALBACETE,ALBACETE,ALBACETE,02007,SECTOR PARCELA T-3 LOCAL52 14,N,-1.878111,39.009639,08/11/2023 14:21,1.589,,,1.745,,1.579,1.616,,,,,,,,,,,ALCAMPO,L-S: 06:00-23:00; D: 08:00-23:00
ALBACETE,ALBACETE,ALBACETE,02007,AVENIDA PRIMERA 94,N,-1.893944,39.016361,11/11/2023 00:00,1.579,,,,,1.529,1.579,,,,,,,,,,,INPEALSA,L-V: 06:00-22:00; S: 06:00-14:00
ALBACETE,ALBACETE,ALBACETE,02007,CALLE C/ AUTOVIA C/V AVD. SEXTA S/N,D,-1.888083,39.029583,07/11/2023 00:00,,,,,,,,,,,,,,,1.199,1.059,,NATURGY ES  GNV ALBACETE,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,CALLE AUTOVIA SN,N,-1.888333,39.029167,09/11/2023 13:14,1.589,,,,,1.549,,,,,,,,,,,,LA GAVIOTA GASOLINERA 24 HORA,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,AVENIDA POLIGONO CAMPOLLANO AVENIDA 0 67,N,-1.886556,39.021583,08/11/2023 15:33,1.619,,,,,1.579,,,,,,,,,,,,VALERO 24H,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,POLIGONO CAMPOLLANO AVENIDA -0- 69,D,-1.879639,39.021972,06/11/2023 12:55,2.299,,,2.369,,2.259,,,,,,,,,,,,ABOIL,L-V: 07:00-21:00; S-D: 09:00-14:00
ALBACETE,ALBACETE,ALBACETE,02007,AVENIDA 3ª ESQUINA C/ F Nº3 3,N,-1.885694,39.009417,08/11/2023 08:33,1.587,,,,,1.537,,,,,,,,,,,,FAST & GAS,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02080,CARRETERA DE LAS PEÑAS KM 0+238 KM. 0238,I,-1.873194,38.970778,09/11/2023 23:05,1.629,,,,,1.599,,,,,,,,,,,,AREA LOS LLANOS,L-D: 07:00-22:00
ALBACETE,ALBACETE,ALBACETE,02080,AUTOVIA A-30 KM. 2394,D,-1.933250,39.059806,12/11/2023 06:00,1.619,,,1.751,,1.629,1.709,,,,,,,,,,,CEPSA,L-D: 07:00-23:00
ALBACETE,ALBACETE,ALBACETE,02080,AUTOVIA A-30 KM. 2394,I,-1.933056,39.060528,12/11/2023 06:00,1.619,,,,,1.649,1.729,,,,,,,,,,,CEPSA,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02080,POLIGONO Nº 71 PARCELA 678 PARAJE HONDO DE LA MORENA S/N S/N,D,-1.823639,38.969361,12/11/2023 07:53,1.639,,,1.779,,1.659,1.739,,,,,,,,,,,CEPSA,L-D: 06:30-22:30
ALBACETE,ALCADOZO,ALCADOZO,02124,CM-3203 km 419,I,-1.978917,38.646833,06/11/2023 08:17,1.799,,,,,1.759,1.829,1.439,,,,,,,,,,CEPSA,L-D: 07:00-21:30
ALBACETE,ALCALÁ DEL JÚCAR,ALCALA DEL JUCAR,02210,CARRETERA CM-3201 471 KM. 471,D,-1.433222,39.203167,06/11/2023 09:22,1.619,,,,,1.599,,,,,,,,,,,,EL JUCAR,L-D: 08:00-21:00
ALBACETE,ALCARAZ,ALCARAZ,02300,CR N-322 2765,D,-2.492222,38.673111,09/11/2023 10:53,1.689,,,1.809,,1.679,1.749,,,,,,,,,,,REPSOL,L-D: 07:00-22:00
ALBACETE,ALCARAZ,JARDIN (EL),02330,CARRETERA 322 KM. 302,I,-2.327639,38.808528,12/11/2023 00:00,1.589,,1.619,,,1.629,1.679,,,,,,,,,,,REPSOL,L-V: 07:00-17:00
ALBACETE,ALMANSA,ALMANSA,02640,CL AVDA. DE AYORA S.N. A,D,-1.100528,38.874583,12/11/2023 00:00,1.629,,,1.759,,1.669,1.719,,,,,,,0.959,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,ALMANSA,ALMANSA,02640,AVENIDA MADRID 11,N,-1.108000,38.871556,12/11/2023 00:00,1.649,,1.719,,,1.659,1.719,,,,,,,,,,,CEPSA,L-V: 06:00-22:00
ALBACETE,ALMANSA,ALMANSA,02640,AVENIDA CIRCUNVALACION 9,N,-1.098889,38.879167,12/11/2023 00:00,1.649,,1.709,,,1.659,1.719,,,,,,,,,,,CEPSA,L-D: 06:00-22:00
ALBACETE,ALMANSA,ALMANSA,02640,CARRETERA N-430 BADAJOZ A VALENCIA KM. 594,D,-1.027694,38.850278,10/11/2023 13:39,1.549,,,,,1.569,,1.309,,,,,,,,,,GASOLINERA LOW COST PENADES,L-D: 24H
ALBACETE,ALMANSA,ALMANSA,02640,AVENIDA CIRCUNVALACION 26,N,-1.084750,38.859944,09/11/2023 08:00,1.649,,,,,1.669,1.739,,,,,,,,,,,CEPSA,L-D: 06:00-22:00
ALBACETE,ALMANSA,ALMANSA,02640,AUTOVIA A-31 KM. 143350,I,-1.143722,38.878278,10/11/2023 10:02,1.659,,,1.719,,1.679,1.749,,,,,,,,,,,CEPSA,L-D: 06:00-22:00
ALBACETE,ALMANSA,ALMANSA,02640,AUTOVIA A-31 KM. 140,D,-1.175750,38.875028,10/11/2023 15:00,1.629,,,1.769,,1.669,1.749,,,,,,,,,,,SHELL,L-D: 07:00-23:00
ALBACETE,ALMANSA,ALMANSA,02640,AVENIDA CIRCUNVALACION 17,N,-1.089278,38.874083,07/11/2023 09:33,,,,,,1.599,,,,,,,,,,,,GASÓLEOS S. ALMANSA,L-D: 24H
ALBACETE,ALMANSA,ALMANSA,02640,AVENIDA INFANTE DON JUAN MANUEL 8,D,-1.102944,38.874556,12/11/2023 09:58,1.539,,,,,1.559,,,,,,,,,,,,QUALITY ALMANSA,L-D: 24H
ALBACETE,ALPERA,ALPERA,02690,BONETE S/Nº,N,-1.236552,38.958875,06/11/2023 09:11,1.524,,,,,1.522,,1.190,,,,,,,,,,COOPERATIVA SANTA CRUZ DE ALPERA,L-D: 24H
ALBACETE,BALAZOTE,BALAZOTE,02320,N-322 km 3262,D,-2.150639,38.878028,06/11/2023 12:22,1.679,,,,,1.665,,1.450,,,,,,,,,,E.S. BALAZOTE S.L.,L-D: 07:00-23:00
ALBACETE,BARRAX,BARRAX,02639,CAMINO DE LOS GONZALOS SN,D,-2.192996,39.051236,07/11/2023 11:17,,,,,,1.560,,1.199,,,,,,,,,,COABA,L-D: 24H
ALBACETE,BARRAX,BARRAX,02639,CALLE ALBACETE 57,I,-2.195139,39.043139,06/11/2023 12:25,1.679,,,,,1.665,,1.450,,,,,,,,,,E.S. BARRAX S.L.,L-D: 06:00-23:00
ALBACETE,BIENSERVIDA,BIENSERVIDA,02360,CARRETERA BIENSERVIDA KM. 10,N,-2.617667,38.516417,03/11/2023 20:29,1.689,,,,,1.569,,,,,,,,,,,,GASOLINERA ETENOIL,L-D: 07:00-22:00
